"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1948.0,16644.0,18920.0,52390.0,37.4255083,9.7863101,1,"","",1995.0,"","",200.0,8,200.0,80,200.0,4,3,5174,0.04,0.4,0.02,0.41086792452830184
"ETH","ET",1948.0,"",3143.0,"",42.317,9.401,4,"","",1986.0,5.0,19.0,99.0,0,99.0,7,99.0,3,3,29160,0.0,0.0707070707070707,0.030303030303030304,0.0932711910413454
"ETH","ET",1943.0,"",3173.0,"",38.9167,11.55,4,"","",1995.0,7.0,19.0,105.0,0,105.0,14,105.0,4,3,31523,0.0,0.13333333333333333,0.0380952380952381,0.1569332135369871
"ETH","ET",1948.0,3159.0,19012.0,52500.0,37.3792,7.8775401,3,"","",2009.0,"","",65.0,27,65.0,4,65.0,3,1,5233,0.4153846153846154,0.06153846153846154,0.046153846153846156,0.4497007067957162
"ETH","ET",1950.0,"",3148.0,"",37.333302,6.05,4,"","",1993.0,0.0,99.0,81.0,13,81.0,9,81.0,3,3,28756,0.16049382716049382,0.1111111111111111,0.037037037037037035,0.26548146614404344
"ETH","ET",1950.0,3148.0,19135.0,52179.0,37.333302,6.0500002,3,"","",1993.0,"","",81.0,13,81.0,9,81.0,3,3,5266,0.16049382716049382,0.1111111111111111,0.037037037037037035,0.26548146614404344
"ETH","ET",1948.0,"",3189.0,"",40.516,8.817,4,"","",1986.0,5.0,19.0,98.0,0,98.0,53,98.0,18,3,29289,0.0,0.5408163265306123,0.1836734693877551,0.5897699857763667
"ETH","ET",1948.0,3189.0,19022.0,52517.0,41.1138,9.1351604,3,"","",2009.0,"","",97.0,20,97.0,7,97.0,0,1,5241,0.20618556701030927,0.07216494845360824,0.0,0.2485576836308873
"ETH","ET",1943.0,3171.0,18602.0,"",37.152,12.67,3,"","",1995.0,5.0,16.0,113.0,38,113.0,5,113.0,14,3,30121,0.336283185840708,0.04424778761061947,0.12389380530973451,0.41909724044293956
"ETH","ET",1950.0,"",3148.0,"",37.299999,5.916667,4,"","",2010.0,1.0,99.0,276.0,8,276.0,37,276.0,2,1,28816,0.028985507246376812,0.13405797101449277,0.007246376811594203,0.1558969809678113
