"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3670.0,35309.0,35309.0,55647.0,7.6710889,13.9501075,2,"","",2004.0,"","",62,0,62,0,62,0,2,10159,0.0,0.0,0.0,0.0,0.0,100,100,98
"NER","NE",3674.0,35331.0,35331.0,55627.0,9.8260002,13.96,3,"","",2004.0,"","",33,2,33,0,33,0,2,10247,0.0606060606060606,0.0,0.0,0.057175528873642,39480.424596441815,101,101,101
"NER","NE",3674.0,35334.0,35334.0,55676.0,8.5360003,13.836,3,"","",2004.0,"","",60,0,60,1,60,0,2,10264,0.0,0.0166666666666666,0.0,0.0157232704402515,25429.48346249125,102,102,102
"NER","NE",3669.0,35305.0,35305.0,"",3.745317,13.684933,3,"","mapping",2005.0,7.0,11.0,60,1,60,1,60,0,2,27411,0.0166666666666666,0.0166666666666666,0.0,0.0311844863731656,0.0,103,103,104
"NER","NE",3669.0,35305.0,35305.0,13758.0,3.745317,13.684933,3,"","",2006.0,"","",60,0,60,0,60,0,1,10138,0.0,0.0,0.0,0.0,0.0,104,104,103
"NER","NE",3670.0,35308.0,35308.0,55631.0,6.8460002,13.74,3,"","",2004.0,"","",45,0,45,0,45,0,2,10156,0.0,0.0,0.0,0.0,10894.088364062476,105,105,105
"NER","NE",3670.0,35306.0,35306.0,55579.0,7.8150001,13.347,3,"","",2004.0,"","",60,0,60,0,60,0,2,10141,0.0,0.0,0.0,0.0,420.9175319295898,106,106,106
"NER","NE",3670.0,35307.0,35307.0,"",6.8,14.4,1,"","mapping",2005.0,7.0,14.0,60,0,60,0,60,0,2,27416,0.0,0.0,0.0,0.0,0.0,107,107,108
"NER","NE",3670.0,35307.0,35307.0,13733.0,6.8,14.4,1,"","",2006.0,"","",60,0,60,0,60,0,1,10145,0.0,0.0,0.0,0.0,0.0,108,108,107
"NER","NE",3673.0,35330.0,35330.0,55722.0,0.97780001,14.6333,3,"","",2004.0,"","",60,0,60,0,60,0,2,10246,0.0,0.0,0.0,0.0,150.70510221283084,109,109,109
"NER","NE",3673.0,35327.0,35327.0,55683.0,2.527,14.294,3,"","",2004.0,"","",60,5,60,0,60,0,2,10227,0.0833333333333333,0.0,0.0,0.0786163522012578,250.51859221543748,110,110,110
"NER","NE",3674.0,35332.0,35332.0,"",8.81169,13.12428,3,"","mapping",2014.0,7.0,12.0,50,0,50,1,50,0,1,27571,0.0,0.02,0.0,0.0188679245283018,0.0,111,111,112
"NER","NE",3674.0,35332.0,35332.0,"",8.81169,13.12428,3,"","sentinel site",2018.0,7.0,11.0,54,0,54,1,54,2,1,27572,0.0,0.0185185185185185,0.037037037037037,0.0517638533012397,0.0,112,112,111
"NER","NE",3668.0,35300.0,35300.0,55678.0,12.716,13.808,3,"","",2004.0,"","",60,0,60,1,60,0,2,10116,0.0,0.0166666666666666,0.0,0.0157232704402515,39018.63494008015,113,113,113
